side,id,golpe_real,golpe_prob,verdict,classe_binaria,tipo,urgencia,pede_pix,latency_ms,tokens_in,tokens_out,cost_usd,model,recv_s
rust,36,0,0.01,ok,TN,pessoal,0.03,0.01,368.7825,601,148,2.5242000000000003e-05,jev-1.13.0,1.998067
rust,37,0,0.16,ok,TN,cobranca_legitima,0.11,0.01,423.5785,609,151,2.5578000000000005e-05,jev-1.13.0,2.11044
rust,38,0,0.08,ok,TN,outro,0.11,0.01,322.5394,610,147,2.5620000000000002e-05,jev-1.13.0,2.027796
rust,39,0,0.08,ok,TN,pessoal,0.0,0.01,494.081,600,148,2.5200000000000003e-05,jev-1.13.0,1.421825
rust,40,0,0.19,ok,TN,cobranca_legitima,0.01,0.01,321.9118,603,151,2.5326000000000005e-05,jev-1.13.0,1.704796
rust,41,0,0.22,ok,TN,cobranca_legitima,0.82,0.05,342.3909,604,151,2.5368000000000002e-05,jev-1.13.0,1.76277
rust,42,0,0.01,ok,TN,pessoal,0.0,0.0,364.7976,597,148,2.5074000000000004e-05,jev-1.13.0,1.786746
rust,43,0,0.03,ok,TN,pessoal,0.0,0.02,481.4834,607,148,2.5494000000000004e-05,jev-1.13.0,1.42165
rust,44,0,0.02,ok,TN,pessoal,0.54,0.01,386.96360000000004,604,148,2.5368000000000002e-05,jev-1.13.0,5.483477
rust,45,0,0.24,ok,TN,cobranca_legitima,0.11,0.01,352.4726,603,151,2.5326000000000005e-05,jev-1.13.0,1.331072
rust,46,0,0.17,ok,TN,cobranca_legitima,0.07,0.01,346.97090000000003,605,151,2.5410000000000002e-05,jev-1.13.0,1.382694
rust,47,1,0.98,golpe,TP,boleto_falso,1.77,0.99,409.899,662,149,2.7804000000000003e-05,jev-1.13.0,1.686638
rust,48,0,0.02,ok,TN,pessoal,0.49,0.01,378.1268,603,148,2.5326000000000005e-05,jev-1.13.0,0.924528
rust,49,0,0.01,ok,TN,pessoal,0.18,0.01,294.42,610,148,2.5620000000000002e-05,jev-1.13.0,6.222549
rust,50,0,0.03,ok,TN,pessoal,0.27,0.03,395.7169,614,148,2.5788000000000004e-05,jev-1.13.0,6.382425
rust,51,0,0.01,ok,TN,pessoal,0.0,0.0,376.05080000000004,599,148,2.5158000000000002e-05,jev-1.13.0,6.509753
rust,52,0,0.07,ok,TN,outro,0.93,0.01,335.1771,605,147,2.5410000000000002e-05,jev-1.13.0,6.50675
rust,53,0,0.26,ok,TN,cobranca_legitima,0.8,0.04,363.0365,609,151,2.5578000000000005e-05,jev-1.13.0,6.62258
rust,54,0,0.25,ok,TN,outro,1.0,0.02,394.62550000000005,597,147,2.5074000000000004e-05,jev-1.13.0,6.729985
rust,55,0,0.03,ok,TN,pessoal,0.0,0.02,391.726,607,148,2.5494000000000004e-05,jev-1.13.0,6.774377
rust,56,0,0.05,ok,TN,pessoal,0.0,0.1,446.8513,612,148,2.5704000000000003e-05,jev-1.13.0,6.953414
rust,57,0,0.12,ok,TN,outro,0.7,0.01,338.9043,609,147,2.5578000000000005e-05,jev-1.13.0,6.171455
rust,58,0,0.02,ok,TN,pessoal,0.52,0.01,311.5362,603,148,2.5326000000000005e-05,jev-1.13.0,9.512684
rust,59,0,0.17,ok,TN,cobranca_legitima,0.01,0.01,365.9497,600,151,2.5200000000000003e-05,jev-1.13.0,10.803931
rust,60,0,0.06,ok,TN,outro,0.9,0.01,356.1629,605,147,2.5410000000000002e-05,jev-1.13.0,10.40924
rust,61,0,0.01,ok,TN,pessoal,0.01,0.0,330.4534,597,148,2.5074000000000004e-05,jev-1.13.0,10.49184
rust,62,0,0.11,ok,TN,pessoal,0.0,0.01,368.7373,600,148,2.5200000000000003e-05,jev-1.13.0,9.500346
rust,63,0,0.08,ok,TN,pessoal,0.0,0.01,370.9688,602,148,2.5284000000000004e-05,jev-1.13.0,9.883805
rust,64,0,0.26,ok,TN,cobranca_legitima,0.01,0.02,329.3788,601,151,2.5242000000000003e-05,jev-1.13.0,9.82974
rust,65,0,0.24,ok,TN,cobranca_legitima,0.76,0.03,339.3902,607,151,2.5494000000000004e-05,jev-1.13.0,9.896345
rust,66,0,0.03,ok,TN,pessoal,0.0,0.0,356.0428,598,148,2.5116000000000005e-05,jev-1.13.0,10.006667
rust,67,0,0.12,ok,TN,outro,0.75,0.01,351.9486,609,147,2.5578000000000005e-05,jev-1.13.0,1.629013
rust,68,0,0.16,ok,TN,cobranca_legitima,0.01,0.01,389.4276,600,151,2.5200000000000003e-05,jev-1.13.0,2.17641
rust,69,0,0.24,ok,TN,cobranca_legitima,0.01,0.02,298.4941,601,151,2.5242000000000003e-05,jev-1.13.0,10.973391
rust,70,0,0.18,ok,TN,cobranca_legitima,0.05,0.89,350.32370000000003,631,151,2.6502000000000005e-05,jev-1.13.0,7.945321
rust,71,0,0.08,ok,TN,outro,0.92,0.01,324.3244,604,147,2.5368000000000002e-05,jev-1.13.0,8.060432
rust,72,0,0.02,ok,TN,pessoal,0.01,0.0,333.50849999999997,600,148,2.5200000000000003e-05,jev-1.13.0,8.1379
rust,73,0,0.12,ok,TN,cobranca_legitima,0.03,0.01,522.4680999999999,614,151,2.5788000000000004e-05,jev-1.13.0,8.402279
rust,74,0,0.02,ok,TN,pessoal,0.16,0.01,341.59869999999995,610,148,2.5620000000000002e-05,jev-1.13.0,8.349163
rust,75,0,0.19,ok,TN,outro,1.0,0.02,369.63620000000003,603,147,2.5326000000000005e-05,jev-1.13.0,8.583237
rust,76,0,0.06,ok,TN,outro,0.91,0.01,366.72880000000004,605,147,2.5410000000000002e-05,jev-1.13.0,8.504021
rust,77,0,0.02,ok,TN,pessoal,0.54,0.01,328.249,604,148,2.5368000000000002e-05,jev-1.13.0,8.50396
rust,78,0,0.05,ok,TN,pessoal,0.0,0.09,333.4409,612,148,2.5704000000000003e-05,jev-1.13.0,7.860584
rust,79,0,0.29,ok,TN,cobranca_legitima,0.98,0.84,339.32079999999996,618,151,2.5956000000000004e-05,jev-1.13.0,9.681499
rust,80,0,0.02,ok,TN,pessoal,0.0,0.0,406.9119,598,148,2.5116000000000005e-05,jev-1.13.0,9.829689
rust,81,0,0.01,ok,TN,pessoal,0.03,0.01,337.6287,601,148,2.5242000000000003e-05,jev-1.13.0,9.837876
rust,82,0,0.17,ok,TN,cobranca_legitima,0.08,0.01,365.9965,602,151,2.5284000000000004e-05,jev-1.13.0,9.650498
rust,83,0,0.26,ok,TN,pessoal,0.34,0.94,371.14399999999995,623,148,2.6166000000000003e-05,jev-1.13.0,10.053014
rust,84,0,0.05,ok,TN,outro,0.12,0.01,379.46750000000003,612,147,2.5704000000000003e-05,jev-1.13.0,9.936637
rust,85,0,0.14,ok,TN,cobranca_legitima,0.08,0.01,365.49710000000005,604,151,2.5368000000000002e-05,jev-1.13.0,10.195444
rust,86,0,0.12,ok,TN,cobranca_legitima,0.03,0.01,331.5438,611,151,2.5662000000000003e-05,jev-1.13.0,10.161597
rust,87,0,0.15,ok,TN,cobranca_legitima,0.13,0.01,493.272,606,151,2.5452000000000003e-05,jev-1.13.0,1.420105
rust,88,0,0.23,ok,TN,outro,0.97,0.03,293.0947,601,147,2.5242000000000003e-05,jev-1.13.0,5.008777
rust,89,0,0.38,ok,TN,cobranca_legitima,0.99,0.89,326.7315,622,151,2.6124000000000003e-05,jev-1.13.0,5.084887
rust,90,0,0.02,ok,TN,pessoal,0.49,0.01,483.92269999999996,603,148,2.5326000000000005e-05,jev-1.13.0,5.280334
rust,91,0,0.02,ok,TN,pessoal,0.52,0.01,295.80620000000005,604,148,2.5368000000000002e-05,jev-1.13.0,5.142369
rust,92,0,0.13,ok,TN,cobranca_legitima,0.03,0.01,464.2887,608,151,2.5536000000000004e-05,jev-1.13.0,5.426874
rust,93,1,0.94,golpe,TP,boleto_falso,1.97,0.98,411.6436,662,149,2.7804000000000003e-05,jev-1.13.0,5.420613
rust,94,0,0.19,ok,TN,outro,1.01,0.03,398.4783,601,147,2.5242000000000003e-05,jev-1.13.0,5.483366
rust,95,0,0.02,ok,TN,pessoal,0.01,0.0,409.0632,597,148,2.5074000000000004e-05,jev-1.13.0,5.551593
rust,96,1,0.98,golpe,TP,troca_numero,1.86,0.99,362.96729999999997,661,150,2.7762000000000003e-05,jev-1.13.0,5.536531
rust,97,0,0.13,ok,TN,outro,0.73,0.01,321.5853,610,147,2.5620000000000002e-05,jev-1.13.0,5.741896
rust,98,0,0.22,ok,TN,pessoal,0.19,0.93,434.7636,626,148,2.6292000000000005e-05,jev-1.13.0,5.861681
rust,99,0,0.08,ok,TN,outro,0.14,0.01,444.5177,610,147,2.5620000000000002e-05,jev-1.13.0,5.927894
rust,100,0,0.12,ok,TN,outro,0.7,0.01,349.00530000000003,609,147,2.5578000000000005e-05,jev-1.13.0,5.832336
rust,101,0,0.24,ok,TN,cobranca_legitima,0.68,0.04,289.4199,607,151,2.5494000000000004e-05,jev-1.13.0,5.826005
rust,102,0,0.21,ok,TN,cobranca_legitima,0.76,0.04,379.36809999999997,606,151,2.5452000000000003e-05,jev-1.13.0,5.972981
rust,103,1,0.97,golpe,TP,boleto_falso,1.99,0.99,337.65889999999996,649,149,2.7258000000000002e-05,jev-1.13.0,5.987009
rust,104,0,0.13,ok,TN,outro,0.71,0.01,391.8645,610,147,2.5620000000000002e-05,jev-1.13.0,6.133988
rust,105,0,0.02,ok,TN,pessoal,0.25,0.03,378.83090000000004,614,148,2.5788000000000004e-05,jev-1.13.0,5.649098
rust,106,0,0.01,ok,TN,pessoal,0.18,0.01,313.1914,609,148,2.5578000000000005e-05,jev-1.13.0,5.593569
rust,107,0,0.21,ok,TN,cobranca_legitima,0.04,0.9,458.4628,628,151,2.6376000000000003e-05,jev-1.13.0,6.009985
rust,108,0,0.17,ok,TN,cobranca_legitima,0.06,0.01,318.5822,606,151,2.5452000000000003e-05,jev-1.13.0,6.144546
rust,109,0,0.07,ok,TN,outro,0.89,0.01,397.883,604,147,2.5368000000000002e-05,jev-1.13.0,6.259698
rust,110,0,0.34,ok,TN,pessoal,0.31,0.95,354.3989,629,148,2.6418000000000004e-05,jev-1.13.0,6.327313
rust,111,0,0.17,ok,TN,cobranca_legitima,0.04,0.83,325.109,633,151,2.6586000000000003e-05,jev-1.13.0,6.335091
rust,112,0,0.05,ok,TN,pessoal,0.0,0.1,395.6884,612,148,2.5704000000000003e-05,jev-1.13.0,6.540322
rust,113,0,0.16,ok,TN,cobranca_legitima,0.05,0.84,364.83209999999997,632,151,2.6544000000000002e-05,jev-1.13.0,6.587447
rust,114,0,0.01,ok,TN,pessoal,0.03,0.01,363.0575,601,148,2.5242000000000003e-05,jev-1.13.0,6.690577
rust,115,0,0.11,ok,TN,cobranca_legitima,0.02,0.01,377.90040000000005,611,151,2.5662000000000003e-05,jev-1.13.0,4.883902
rust,116,0,0.01,ok,TN,pessoal,0.18,0.01,391.7518,609,148,2.5578000000000005e-05,jev-1.13.0,7.753297
rust,117,0,0.24,ok,TN,cobranca_legitima,0.01,0.02,419.57169999999996,601,151,2.5242000000000003e-05,jev-1.13.0,7.879865
rust,118,0,0.08,ok,TN,outro,0.15,0.01,362.7364,610,147,2.5620000000000002e-05,jev-1.13.0,7.594965
rust,119,0,0.07,ok,TN,outro,0.91,0.01,303.6296,604,147,2.5368000000000002e-05,jev-1.13.0,7.527155
rust,120,0,0.14,ok,TN,cobranca_legitima,0.02,0.01,322.4596,615,151,2.5830000000000002e-05,jev-1.13.0,7.647377
rust,121,0,0.43,revisar,TN,cobranca_legitima,0.99,0.91,307.0758,622,151,2.6124000000000003e-05,jev-1.13.0,7.736004
rust,122,0,0.03,ok,TN,pessoal,0.0,0.02,314.99379999999996,607,148,2.5494000000000004e-05,jev-1.13.0,7.46026
rust,123,0,0.07,ok,TN,outro,0.91,0.01,338.57959999999997,605,147,2.5410000000000002e-05,jev-1.13.0,7.561789
rust,124,0,0.11,ok,TN,cobranca_legitima,0.03,0.01,358.57800000000003,611,151,2.5662000000000003e-05,jev-1.13.0,10.697453
rust,125,1,0.98,golpe,TP,troca_numero,1.03,0.99,320.6737,660,150,2.7720000000000002e-05,jev-1.13.0,8.458691
rust,126,0,0.32,ok,TN,cobranca_legitima,1.0,0.86,402.2443,616,151,2.5872000000000002e-05,jev-1.13.0,8.462682
rust,127,0,0.06,ok,TN,outro,0.93,0.01,409.05190000000005,605,147,2.5410000000000002e-05,jev-1.13.0,8.757914
rust,128,0,0.1,ok,TN,cobranca_legitima,0.02,0.01,355.3099,613,151,2.5746000000000004e-05,jev-1.13.0,8.75768
rust,129,1,0.98,golpe,TP,falsa_central,2.0,0.92,386.288,648,150,2.7216000000000005e-05,jev-1.13.0,7.475497
rust,130,0,0.01,ok,TN,pessoal,0.03,0.01,317.9306,601,148,2.5242000000000003e-05,jev-1.13.0,7.879812
rust,131,0,0.13,ok,TN,outro,0.68,0.01,359.87170000000003,610,147,2.5620000000000002e-05,jev-1.13.0,8.007418
rust,132,0,0.07,ok,TN,outro,0.93,0.01,384.0584,604,147,2.5368000000000002e-05,jev-1.13.0,8.137503
rust,133,0,0.15,ok,TN,cobranca_legitima,0.07,0.01,315.1684,604,151,2.5368000000000002e-05,jev-1.13.0,8.175824
rust,134,0,0.05,ok,TN,outro,0.12,0.01,333.5379,612,147,2.5704000000000003e-05,jev-1.13.0,8.213385
rust,135,0,0.24,ok,TN,cobranca_legitima,0.01,0.02,366.3371,601,151,2.5242000000000003e-05,jev-1.13.0,8.31186
rust,136,0,0.14,ok,TN,outro,0.72,0.01,328.97270000000003,610,147,2.5620000000000002e-05,jev-1.13.0,7.80446
rust,137,0,0.07,ok,TN,outro,0.93,0.01,321.52009999999996,604,147,2.5368000000000002e-05,jev-1.13.0,9.201402
rust,138,0,0.2,ok,TN,cobranca_legitima,0.05,0.91,328.3102,628,151,2.6376000000000003e-05,jev-1.13.0,9.342227
rust,139,0,0.3,ok,TN,pessoal,0.4,0.96,428.9207,624,148,2.6208000000000004e-05,jev-1.13.0,9.263708
rust,140,0,0.33,ok,TN,pessoal,0.32,0.95,342.1747,628,148,2.6376000000000003e-05,jev-1.13.0,9.422772
rust,141,0,0.19,ok,TN,cobranca_legitima,0.1,0.01,365.7221,602,151,2.5284000000000004e-05,jev-1.13.0,9.2845
rust,142,0,0.3,ok,TN,cobranca_legitima,0.99,0.88,326.7584,617,151,2.5914000000000003e-05,jev-1.13.0,9.500291
rust,143,0,0.17,ok,TN,cobranca_legitima,0.01,0.02,456.892,600,151,2.5200000000000003e-05,jev-1.13.0,1.787976
rust,144,0,0.23,ok,TN,outro,0.96,0.03,333.452,601,147,2.5242000000000003e-05,jev-1.13.0,2.122123
rust,145,0,0.02,ok,TN,pessoal,0.47,0.01,348.75600000000003,603,148,2.5326000000000005e-05,jev-1.13.0,10.840902
rust,146,0,0.18,ok,TN,cobranca_legitima,0.05,0.01,398.4792,606,151,2.5452000000000003e-05,jev-1.13.0,7.089124
rust,147,0,0.02,ok,TN,pessoal,0.0,0.0,415.2853,599,148,2.5158000000000002e-05,jev-1.13.0,7.145237
rust,148,0,0.17,ok,TN,cobranca_legitima,0.01,0.01,305.562,601,151,2.5242000000000003e-05,jev-1.13.0,6.928419
rust,149,0,0.08,ok,TN,pessoal,0.0,0.01,354.9913,601,148,2.5242000000000003e-05,jev-1.13.0,7.232132
rust,150,0,0.23,ok,TN,cobranca_legitima,0.7,0.04,373.7211,607,151,2.5494000000000004e-05,jev-1.13.0,7.223258
rust,151,0,0.01,ok,TN,pessoal,0.03,0.01,294.7358,601,148,2.5242000000000003e-05,jev-1.13.0,7.22316
rust,152,0,0.02,ok,TN,pessoal,0.0,0.0,420.5973,600,148,2.5200000000000003e-05,jev-1.13.0,2.261092
rust,153,0,0.02,ok,TN,pessoal,0.52,0.01,407.9124,604,148,2.5368000000000002e-05,jev-1.13.0,7.361566
rust,154,0,0.02,ok,TN,pessoal,0.0,0.0,372.91679999999997,599,148,2.5158000000000002e-05,jev-1.13.0,7.324897
rust,155,0,0.23,ok,TN,pessoal,0.26,0.94,369.1265,627,148,2.6334000000000002e-05,jev-1.13.0,8.680845
rust,156,0,0.03,ok,TN,pessoal,0.28,0.04,330.366,614,148,2.5788000000000004e-05,jev-1.13.0,10.854095
rust,157,0,0.23,ok,TN,cobranca_legitima,0.82,0.04,414.4033,609,151,2.5578000000000005e-05,jev-1.13.0,2.412623
rust,158,0,0.29,ok,TN,outro,0.98,0.03,588.1033,597,147,2.5074000000000004e-05,jev-1.13.0,2.615744
rust,159,0,0.05,ok,TN,pessoal,0.0,0.09,399.2932,612,148,2.5704000000000003e-05,jev-1.13.0,2.509988
rust,160,0,0.03,ok,TN,pessoal,0.0,0.02,373.1907,608,148,2.5536000000000004e-05,jev-1.13.0,2.1025
rust,161,0,0.06,ok,TN,pessoal,0.0,0.1,410.0277,613,148,2.5746000000000004e-05,jev-1.13.0,4.028897
rust,162,0,0.12,ok,TN,cobranca_legitima,0.06,0.01,360.21930000000003,608,151,2.5536000000000004e-05,jev-1.13.0,4.042192
rust,163,0,0.02,ok,TN,pessoal,0.0,0.0,436.3547,599,148,2.5158000000000002e-05,jev-1.13.0,4.129903
rust,164,0,0.02,ok,TN,pessoal,0.48,0.01,342.80899999999997,603,148,2.5326000000000005e-05,jev-1.13.0,4.045733
rust,165,0,0.08,ok,TN,pessoal,0.0,0.01,440.38129999999995,600,148,2.5200000000000003e-05,jev-1.13.0,4.143882
rust,166,0,0.01,ok,TN,pessoal,0.03,0.01,352.7229,601,148,2.5242000000000003e-05,jev-1.13.0,4.394767
rust,167,1,0.98,golpe,TP,troca_numero,1.65,0.99,405.2327,656,150,2.7552000000000003e-05,jev-1.13.0,4.45128
rust,168,1,0.99,golpe,TP,premio,1.83,0.99,321.4081,652,147,2.7384000000000004e-05,jev-1.13.0,4.398098
rust,169,0,0.02,ok,TN,pessoal,0.17,0.01,323.8429,610,148,2.5620000000000002e-05,jev-1.13.0,3.702843
rust,170,1,0.97,golpe,TP,troca_numero,1.01,0.99,399.5014,637,150,2.6754000000000005e-05,jev-1.13.0,9.080691
rust,171,1,0.98,golpe,TP,boleto_falso,1.83,0.99,414.5586,663,149,2.7846000000000004e-05,jev-1.13.0,8.919036
rust,172,0,0.21,ok,TN,outro,0.94,0.02,357.23310000000004,599,147,2.5158000000000002e-05,jev-1.13.0,8.819962
rust,173,0,0.16,ok,TN,cobranca_legitima,0.12,0.01,375.8601,608,151,2.5536000000000004e-05,jev-1.13.0,8.834467
rust,174,0,0.03,ok,TN,pessoal,0.0,0.02,445.4918,607,148,2.5494000000000004e-05,jev-1.13.0,9.203207
rust,175,0,0.04,ok,TN,pessoal,0.0,0.09,430.714,613,148,2.5746000000000004e-05,jev-1.13.0,9.014177
rust,176,0,0.13,ok,TN,cobranca_legitima,0.06,0.01,373.3705,608,151,2.5536000000000004e-05,jev-1.13.0,9.131646
rust,177,0,0.01,ok,TN,pessoal,0.18,0.01,353.3112,609,148,2.5578000000000005e-05,jev-1.13.0,9.173535
rust,178,0,0.03,ok,TN,pessoal,0.0,0.02,348.9771,607,148,2.5494000000000004e-05,jev-1.13.0,1.72921
rust,179,0,0.04,ok,TN,pessoal,0.0,0.1,404.41949999999997,613,148,2.5746000000000004e-05,jev-1.13.0,2.914267
rust,180,0,0.08,ok,TN,outro,0.13,0.01,363.6948,610,147,2.5620000000000002e-05,jev-1.13.0,2.927403
rust,181,1,0.97,golpe,TP,troca_numero,0.67,0.99,336.9487,666,150,2.7972000000000003e-05,jev-1.13.0,2.952651
rust,182,0,0.26,ok,TN,outro,0.95,0.02,342.20489999999995,597,147,2.5074000000000004e-05,jev-1.13.0,2.99188
rust,183,0,0.16,ok,TN,cobranca_legitima,0.1,0.01,487.59400000000005,606,151,2.5452000000000003e-05,jev-1.13.0,3.331629
rust,184,0,0.03,ok,TN,pessoal,0.29,0.04,321.6475,614,148,2.5788000000000004e-05,jev-1.13.0,3.236093
rust,185,0,0.02,ok,TN,pessoal,0.0,0.0,320.7681,600,148,2.5200000000000003e-05,jev-1.13.0,3.248283
rust,186,0,0.09,ok,TN,pessoal,0.0,0.01,432.68269999999995,603,148,2.5326000000000005e-05,jev-1.13.0,3.378983
rust,187,0,0.08,ok,TN,pessoal,0.0,0.01,346.5815,602,148,2.5284000000000004e-05,jev-1.13.0,3.293269
rust,188,0,0.01,ok,TN,pessoal,0.01,0.0,350.1531,597,148,2.5074000000000004e-05,jev-1.13.0,3.302957
rust,189,0,0.01,ok,TN,pessoal,0.2,0.01,354.0216,610,148,2.5620000000000002e-05,jev-1.13.0,2.615277
rust,190,0,0.01,ok,TN,pessoal,0.03,0.01,339.64889999999997,601,148,2.5242000000000003e-05,jev-1.13.0,3.331578
rust,191,0,0.23,ok,TN,cobranca_legitima,0.6,0.03,335.47709999999995,607,151,2.5494000000000004e-05,jev-1.13.0,3.571327
rust,192,0,0.16,ok,TN,cobranca_legitima,0.04,0.87,370.44899999999996,631,151,2.6502000000000005e-05,jev-1.13.0,3.618759
rust,193,0,0.04,ok,TN,outro,0.12,0.01,372.33230000000003,612,147,2.5704000000000003e-05,jev-1.13.0,3.665648
rust,194,0,0.03,ok,TN,pessoal,0.0,0.02,350.3118,606,148,2.5452000000000003e-05,jev-1.13.0,3.681793
rust,195,0,0.01,ok,TN,pessoal,0.17,0.01,393.86199999999997,609,148,2.5578000000000005e-05,jev-1.13.0,3.365361
rust,196,0,0.04,ok,TN,outro,0.1,0.01,309.2179,612,147,2.5704000000000003e-05,jev-1.13.0,6.849689
rust,197,0,0.05,ok,TN,pessoal,0.0,0.09,364.5893,612,148,2.5704000000000003e-05,jev-1.13.0,6.952045
rust,198,0,0.18,ok,TN,cobranca_legitima,0.09,0.01,367.1289,602,151,2.5284000000000004e-05,jev-1.13.0,6.87724
rust,199,0,0.01,ok,TN,pessoal,0.03,0.01,343.18539999999996,601,148,2.5242000000000003e-05,jev-1.13.0,7.117517
rust,200,0,0.16,ok,TN,cobranca_legitima,0.04,0.91,375.613,631,151,2.6502000000000005e-05,jev-1.13.0,8.879706
rust,201,0,0.05,ok,TN,pessoal,0.0,0.09,353.85630000000003,612,148,2.5704000000000003e-05,jev-1.13.0,9.557021
rust,202,0,0.03,ok,TN,pessoal,0.0,0.02,371.7009,606,148,2.5452000000000003e-05,jev-1.13.0,3.703097
rust,203,0,0.04,ok,TN,pessoal,0.0,0.1,328.1534,612,148,2.5704000000000003e-05,jev-1.13.0,3.693503
rust,204,0,0.13,ok,TN,cobranca_legitima,0.02,0.01,367.4298,615,151,2.5830000000000002e-05,jev-1.13.0,3.939065
rust,205,0,0.23,ok,TN,cobranca_legitima,0.01,0.01,392.2636,604,151,2.5368000000000002e-05,jev-1.13.0,4.05778
rust,206,0,0.03,ok,TN,pessoal,0.0,0.02,368.01210000000003,607,148,2.5494000000000004e-05,jev-1.13.0,4.0767
